movie_titles,genre,summary
Lock-In,Comedy,"When Earth's worldwide communications network is hi-jacked by a flamboyant alien entity named Flogg, humankind learns that it is about to become the subject of an intergalactic experiment.The film takes place just before the 6-month mark of a complete and total global lock-in-every human being on earth has been physically constrained within the confines of their homes and offices, kept alive through provisional rationing by their mysterious extra-terrestrial warden. Created by a youth theatre company out of Winston-Salem, NC, the film project features a cast of over 100; each member filming themselves on location (and from a social distance) in an interconnected tapestry of vignettes and insights into the lives and experiences of a captive species known as ""Humans."" With narrative tones ranging from heartfelt to absurd, Lock-In is a morality tale disguised as an irreverent comedy which urges us to strip away the daily frivolities of life on Earth and discover for ourselves what is truly, universally important.""It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
WALL·E,Action,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.In a distant, but not so unrealistic, future where mankind has abandoned earth because it has become covered with trash from products sold by the powerful multi-national Buy N Large corporation, WALL-E, a garbage collecting robot has been left to clean up the mess. Mesmerized with trinkets of Earth's history and show tunes, WALL-E is alone on Earth except for a sprightly pet cockroach. One day, EVE, a sleek (and dangerous) reconnaissance robot, is sent to Earth to find proof that life is once again sustainable. WALL-E falls in love with EVE. WALL-E rescues EVE from a dust storm and shows her a living plant he found amongst the rubble. Consistent with her ""directive"", EVE takes the plant and automatically enters a deactivated state except for a blinking green beacon. WALL-E, doesn't understand what has happened to his new friend, but, true to his love, he protects her from wind, rain, and lightning, even as she is unresponsive. One day a massive ship comes to reclaim EVE, but WALL-E, out of love or loneliness, hitches a ride on the outside of the ship to rescue EVE. The ship arrives back at a large space cruise ship, which is carrying all of the humans who evacuated Earth 700 years earlier. The people of Earth ride around this space resort on hovering chairs which give them a constant feed of TV and video chatting. They drink all of their meals through a straw out of laziness and/or bone loss, and are all so fat that they can barely move. When the auto-pilot computer, acting on hastily-given instructions sent many centuries before, tries to prevent the people of Earth from returning by stealing the plant, WALL-E, EVE, the portly captain, and a band of broken robots stage a mutiny.In the distant future, humans abandon Earth because there is too much trash on it. WALL-E, with habit of picking up everything he finds interesting, lives alone on the planet with a pet cockroach. He has quite a collection of things, from lighters to a working iPod and even a small ring box (without the ring). He even has the last living plant. When a spaceship comes to earth and drops a sleek and dangerous probe EVE to look for a living plant, WALL-E falls in love with her. WALL-E gives her the plant, which makes EVE go into sleep mode. When a spaceship comes to take EVE back, WALL-E too goes with her. What follows is an adventure onboard the Axiom, where people move on hovering chairs and get liquid food which they suck up through a straw. Due to laziness, they have become so fat that they are unable to move. Due to hastily given instructions given to it, auto, the autopilot it tries to get rid of the plant which compels WALL-E, EVE, the pilot and some malfunctioning robots to find a way to retrieve the plant and save the earth.WALL-E, short for Waste Allocation Load Lifter Earth-class, is the last robot left on Earth. He spends his days tidying up the planet, one piece of garbage at a time. But during 700 years, WALL-E has developed a personality, and he's more than a little lonely. Then he spots EVE, a sleek and shapely probe sent back to Earth on a scanning mission. Smitten WALL-E embarks on his greatest adventure yet when he follows EVE across the galaxy.It's late in the third millennium, and Earth has become an uninhabitable wasteland with nothing able to grow. Several hundred years earlier, a corporation called Buy-N-Large shipped all humans off the planet to live on starships, they biding their time until Earth is able to regenerate itself into an inhabitable planet. They also left WALL·E (Waste Allocation Load Lifter: Earth-Class) robots on Earth to clean up and compact all the industrial waste. Only one WALL·E remains, it which has gained emotions and the ability to feel. In order to survive emotionally, WALL·E uses whatever it can find as touchstones to past life on Earth. Despite their initial antagonistic encounter, WALL·E befriends an EVE (Extra-terrestrial Vegetation Evaluator), a droid sent from the mother ship, Axiom, as a sensor to gauge if life has regenerated on Earth. Not knowing about EVE's mission, WALL·E is surprised by EVE's interest in a small seedling WALL·E previously found and brought back to its makeshift abode. In EVE needing to take the seedling back to Axiom, WALL·E, not wanting to lose its new friend, hitches a ride as a stowaway to Axiom. A combination of WALL·E making it back to Axiom and EVE bringing back the seedling leads to a risk to both their survival, as AUTO, the automated pilot manning Axiom, has its own agenda against the recolonization of Earth."
Aditya 369,Sci-Fi,"A group of children use a time machine to investigate a robbery. The protagonist couple, in their attempt to rescue the kids, get stuck in the machine and travel all the way back to the period of the ruler Krishnadevaraya (1500 A.D.) as well as into the future (2500 A.D.), facing sticky situations along the way.It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
Macskafogó,Comedy,"In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have found the weapon against the threat - so Intermouse calls it's best, but now retired agent - Nick Grabowsky - to get the plans. As a distraction for the Cats, they also send a second agent - Seargent Lazy Dick - for the mission.It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
Alien,Horror,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.In the distant future, the crew of the commercial spaceship Nostromo are on their way home when they pick up a distress call from a distant moon. The crew are under obligation to investigate and the spaceship descends on the moon afterwards. After a rough landing, three crew members leave the spaceship to explore the area on the moon. At the same time as they discover a hive colony of some unknown creature, the ship's computer deciphers the message to be a warning, not a distress call. When one of the eggs is disturbed, the crew realizes that they are not alone on the spaceship and they must deal with the consequences.In the far reaches of space, a crew on-board the ship Nostromo are returning to Earth until they receive a distress call, an alien one. Unknown to them, they will soon take back with them the most terrifying creature in the universe: The Xenomorph, a killing machine that bleeds corrosive acid whenever anyone tries to hurt it. All alone in space, no one can hear them scream: trying to warn the rest of the galaxy of the terror that is the Xenomorph.In the distant future, during her return to Earth, the commercial spaceship Nostromo intercepts a distress call from a distant moon. The seven-member crew are awakened from hypersleep and the spaceship subsequently descends on the moon. While exploring the moon, a three-member team of the crew discover a derelict spaceship and a huge chamber inside her containing thousands of eggs. When a curious team member goes near the egg, the parasite inside the egg attacks him, rendering him unconscious. He is brought back aboard and the spaceship takes off. After a little while, the parasite dies and his host wakes up seemingly unruffled. Everything soon returns to normal, but not for long."
Ivan Vasilevich menyaet professiyu,Comedy,"An ordinary Soviet building manager, living in the 20th century, is extremely similar to a Tsar of All Rus' - Ivan IV the Terrible (1530-1584). He would never have known about this, but one day his neighbor created a time machine.Shurik Timofeev builds a working model of a time machine. By accident, Ivan Bunsha, an apartment complex manager, and George Miloslavsky, a petty burglar, are transferred to the 16th century Moscow, while Tsar Ivan the Terrible goes into the year 1973.The film begins as black and white. Inventor Aleksandr Sergeevich Timofeev (aka Shurik) creates a time machine. Another experiment to launch it, periodically leading to burnout of traffic jams in the entrance, ended in an explosion, burnout of traffic jams in the whole house and loss of consciousness by Shurik. With the beginning of Shurik's dream, the film becomes color.It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
Futurus - Robot contro uomini,Sci-Fi,"It looks like we don't have any Plot Summaries for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
Dinosaurs in a Mining Facility,Sci-Fi,"Dr. Stone's mysterious mining outpost just got a new employee. Ian is finally making something of himself, but will he become a hero or dinosaur food?It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
Vicky Cristina Barcelona,Comedy,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.Sexually adventurous Cristina and her friend Vicky, who is bright but cautious, holiday in Barcelona where they meet the celebrated and wholly seductive painter, Juan Antonio. Vicky is not about to dive into a sexual adventure being committed to her forthcoming marriage. But Cristina is immediately captivated by Juan Antonio's free spirit and his romantic allure is enhanced when she hears the delicious details of his divorce from fellow artist, the tempestuous Maria Elena.The mysteries of the heart. Two children of privilege, friends alike except in how they see love, summer in Barcelona. Vicky is a grad student in Catalan studies, engaged to a safe man; Cristina is finding herself, knowing that safety is not what she wants. Juan Antonio, an artist rumored to have a violent marriage behind him, invites them to spend a weekend with him. They accept. As the summer goes on, their time with Juan Antonio challenges Vicky's assumptions about who she is and suggests to Christina that she may have found herself. Into the mix come Juan Antonio's volatile ex-wife and Vicky's reliable fiancé. Amidst the passion of Barcelona, can there be resolution?New York friends Vicky and Cristina are spending the summer in Barcelona. One of their differences in life is the type of man to who they are attracted. For Cristina, she feels that being hurt in the search for love - which usually means being attracted to dangerous men - is what is required to find that true passion. Vicky, on the other hand, needs a certain grounding in love, which usually equates itself to being attracted to stable, safe men. Vicky is engaged to stable, safe Doug, the two who plan to get married in the fall after Vicky's return to New York. At an art showing in Barcelona, Cristina is immediately attracted to Juan Antonio, an artist she sees across the room. That attraction is strengthened when he later approaches Vicky and Cristina together, proposing they go away together to Oviedo for the weekend, which would include him having sex with both. Despite no guarantees of sex, Cristina wants to go, with a reluctant Vicky, who is incredulous to Juan Antonio's offer, tagging along. When Vicky is forced to spend some extended time alone with Juan Antonio that weekend, she finds that she too is beginning to have strong romantic feelings for him, which she doesn't tell Cristina. Vicky has to figure out what to do about her feelings, especially as Doug suggests coming to Barcelona himself so that they can get married there, and as Judy, the friend with who Vicky and Cristina are staying, makes a confession. Conversely, Cristina's pursuit of romance with Juan Antonio is complicated by the arrival of Maria Elena, Juan Antonio's artist ex-wife, whose relationship with Juan Antonio was characterized by extreme passion which often crossed the line into violence.Soon-to-be-married Vicky, a cerebral and cautious young major in Catalan studies, and Cristina, her adventurous and carefree best friend, decide to spend their summer vacation in beautiful Barcelona. There, at an art gallery exhibition, the friends will fall for the same man, the seductive, Juan Antonio--an eccentric painter known for his scandalous divorce with the tempestuous, and still very much in love with him, Maria Elena. However, when Vicky and Cristina join Juan Antonio on a weekend in his hometown of Oviedo, the perplexities of passion and the mystery of desire will drag everyone in a volatile, yet enticing ménage à quatre. Will things ever be the same?Conventional Vicky, who is engaged to Doug, travels to Barcelona to spend her summer holidays at the home of their parent's friends, Judy and Mark Nash, with her unconventional and open-minded friend, Cristina. While in a restaurant, the divorced painter Juan Antonio Gonzalo flirts and invites them to travel to Oviedo with him, and also to go to bed with him. The reluctant Vicky does not accept the invitation but Cristina agrees. Once in Oviedo, Cristina develops an ulcer so Vicky goes sightseeing alone with Juan Antonio. Vicky eventually falls in love with Juan Antonio and has sex with him. However, back in Barcelona, she does not say anything to her friend and Cristina moves into Juan Antonio's house, while Vicky marries Doug. When the unstable former wife of Juan Antonio, Maria Elena, overdoses, the painter brings her to his house and their troubled relationship harmonizes with the presence of Cristina."
Shakespeare in Love,Comedy,"The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.William Shakespeare (Joseph Fiennes) is a known but struggling poet, playwright, and actor, who not only has sold his next play to both Philip Henslowe (Geoffrey Rush) and Richard Burbage (Martin Clunes), but now faces a far more difficult problem: he is bereft of ideas and has yet to begin writing. He is in search of his muse, the woman who will inspire him but all attempts fail him until he meets the beautiful Viola De Lesseps (Gwyneth Paltrow). She loves the theatre and would like nothing more than to take to the stage, but is forbidden from doing so as only men can be actors. She is also a great admirer of Shakespeare's works. Dressing as a man, and going by the name of ""Thomas Kent"", she auditions and is ideal for a part in his next play. Shakespeare soon sees through her disguise and they begin a love affair, one they know cannot end happily for them as he is already married and she has been promised to the dour Lord Wessex (Colin Firth). As the company rehearses his new play, William and Viola's love is transferred to the written page leading to the masterpiece that is Romeo and Juliet.1593 London. Master William Shakespeare (Joseph Fiennes), an up-and-coming playwright and sonneteer, is not nearly as well known as his counterpart, Christopher Marlowe (Rupert Everett). So William's current writer's block does not help matters for him or for the owner of the Rose Theatre, Philip Henslowe (Geoffrey Rush), for whom Will generally writes his plays, that is when the theater is not closed due to the plague or Henslowe's financial problems. That current unwritten play commissioned is a comedy tentatively titled ""Romeo and Ethel, the Pirate's Daughter"". Will's block is partly due to the loss of his muse, his mistress, who he caught in bed with another man, he having a mistress as he would otherwise be alone with his wife back in Stratford. Will begins to write again and passionately when he falls in love with Viola De Lesseps (Gwyneth Paltrow), who comes from a well respected well-off family. Shakespeare also learns that Viola and Thomas Kent, the young man who recently joined the company of the Rose, are one and the same, Viola masquerading as a man to infiltrate the theater world, a domain purely for the male sex, as she is in love with the written word, especially Shakespeare's. As such, she too falls in love with Shakespeare the man and Shakespeare the writer. Without telling Henslowe or Ned Alleyn (Ben Affleck), an egotistical actor, the play is neither the comedy ""Romeo and Ethel, the Pirate's Daughter"" nor one called ""Mercutio"" - the name of Alleyn's character - but is rather morphing into a love story called ""Romeo and Juliet"", the love based on his mutual feelings for Viola. Beyond her continuing to masquerade as Thomas Kent, their own love story has a major obstacle in that she is betrothed to Lord Wessex (Colin Firth), a man she detests and a union sanctioned by her merchant father and Queen Elizabeth (Dame Judi Dench) primarily for financial and business purposes. The mounting of the play, Viola and Will's personal love affair, and their professional collaboration as playwright Will Shakespeare and actor ""Thomas Kent"" are set against the cutthroat business side of sixteenth century English show business.Romantic comedy set in London in the late sixteenth century: Young playwright William Shakespeare (Joseph Fiennes) struggles with his latest work ""Romeo and Ethel the Pirate's Daughter"". A great fan of Shakespeare's plays is young, wealthy Viola De Lesseps (Gwyneth Paltrow), who is about to be married to the cold-hearted Lord Wessex (Colin Firth), but constantly dreams of becoming an actress. Women were not allowed to act on stage at that time (female roles were played by men, too), but dressed up as a boy, Viola successfully auditions for the part of Romeo. Soon she and William are caught in a forbidden romance that provides rich inspiration for his play."
The Spectacular Now,Comedy,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""Sutter Keely lives in the now. It's a good place for him. A high school senior, charming and self-possessed, he's the life of the party, loves his job at a men's clothing store, and has no plans for the future. A budding alcoholic, he's never far from his supersized, whiskey-fortified thirst-master cup. But after being dumped by his girlfriend, Sutter gets drunk and wakes up on a lawn with Aimee Finecky hovering over him. She's different: the ""nice girl"" who reads science fiction and doesn't have a boyfriend. While Aimee has dreams of a future, Sutter lives in the impressive delusion of a spectacular now, yet somehow, they're drawn together.Charismatic, well-meaning, and the life of the party, the kind-hearted high school senior, Sutter Keely, makes great efforts to hide himself behind a carefree but ephemeral present, and a jumbo fast-food, booze-spiked soda cup. However, after a night of hard-partying and an unpleasant break-up, Sutter will wake up in a random front yard, where Aimee Finicky, his bookish and unpopular classmate, finds him during her regular newspaper-delivering route. Polar opposites, still, attracted to each other, can there be a spectacular future for Sutter and Aimee?Tim Tharp's unsentimental tale of adolescent frustration comes to the screen in this comedy-drama following the story of a sociable high-school senior whose self-delusion shattered by his emerging friendship with an unpopular classmate. Sutter Keely is one of the most popular kids in his class. Outgoing and fun-loving, he's completely oblivious as to what awaits him beyond high school. Lately, however, his drinking has started to become a problem. So when Sutter's girlfriend breaks things off, he reaches for the bottle without hesitation. Awakening in the grass under the gaze of studious, practical-minded nerd Aimee Finicky, he isn't quite sure how he got into such a predicament. Over time, however, the two teens who couldn't be any more different on the surface realize they have more in common than either ever suspected."
The Longest Ride,Romance,"The lives of a young couple intertwine with a much older man, as he reflects back on a past love.Based on the bestselling novel by master storyteller Nicholas Sparks, THE LONGEST RIDE centers on the star-crossed love affair between Luke, a former champion bull rider looking to make a comeback, and Sophia, a college student who is about to embark upon her dream job in New York City's art world. As conflicting paths and ideals test their relationship, Sophia and Luke make an unexpected and fateful connection with Ira, whose memories of his own decades-long romance with his beloved wife deeply inspire the young couple. Spanning generations and two intertwining love stories, THE LONGEST RIDE explores the challenges and infinite rewards of enduring love.Ninety-one-year-old Ira Levinson is in trouble. Struggling to stay conscious after a car crash, an image of his adored - and long dead - wife Ruth appears. Urging him to hang on, she lovingly recounts the joys and sorrows of their life together: how they met, the dark days of World War II and it's unrelenting effects on their families. A few miles away, college student Sophia Danko's life is about to change when she meets the young, rugged Luke Collins and is thrown into a world far removed from her privileged school life. Sophia sees a tantalising future for herself, but Luke is keeping a secret that could destroy it all.Luke Collins is a professional bull rider who got injured and when he got better goes back. At one of the rodeos he competes at, a girl, Sophie Danko was attending and they met and would begin a romance. But Sophie has plans of working in the art world in New York and Luke doesn't want to give up bull riding so they wonder if it can work. They meet an old man named Ira who tells them about his great romance which began in the 40's and how they overcame such great adversities. Which makes them wonder about their relationship.Nicholas Sparks' best-selling novel comes to the big screen in this romantic drama from director George Tillman Jr.. The plot centers on the star-crossed love affair between a retired bull rider who wants to get back in the saddle, and an art student preparing to seek her fortune in New York City. As their relationship is put to the ultimate test, the wisdom of an aging man who recalls his lost love serves as a source of great inspiration. Scott Eastwood, Britt Robertson, Jack Huston, and Alan Alda star.The plot centers on the star-crossed love affair between a retired bull rider who wants to get back in the saddle, and an art student preparing to seek her fortune in New York City. As their relationship is put to the ultimate test, the wisdom of an aging man who recalls his lost love serves as a source of great inspiration.."
The Parent Trap,Comedy,"Teenage twin sisters swap places and scheme to reunite their divorced parents.Hayley Mills plays twins who, unknown to their divorced parents, meet at a summer camp. Products of single parent households, they switch places so as to meet the parent they never knew, and then contrive to reunite them.Thirteen-year-olds prim and proper Bostonian Sharon McKendrick (Hayley Mills) and tomboyish Californian Susan Evers (Hayley Mills) meet at summer camp. It's hate at first sight, as besides the differing length of their hair, they look exactly the same. After the girls carry out one battle after another against each other, the camp administrators ultimately place the two in solitary confinement, the two eating, sleeping, and playing only with each other. It is during this confinement that they finally get a chance to know each other and learn that they are indeed twins, separated when they were babies when their parents, Maggie McKendrick (Maureen O'Hara) and Mitch Evers (Brian Keith), divorced. Wanting to get to know and ultimately love the parent they never met, Sharon and Susan decide to switch places, Sharon will go to California and pretend to be Susan, and Susan will go to Boston and pretend to be Sharon. The other thing they believe is that their parents still love each other, why else had neither ever remarried. The two parents would ultimately have to ""un-switch"" them, when the girls hope their parents will fall in love all over again. Sharon and Susan are initially able to carry off the ruse, but in California, their plan hits a snag when Mitch introduces his daughter to a young woman named Vicky Robinson (Joanna Barnes), Vicky, who aspires to be the second Mrs. Mitchell Evers. Sharon and the domestics in the Evers household think Vicky is merely a gold digger out for Mitch's money. Sharon and Susan have to figure out a way to get rid of Vicky and bring Maggie to California more quickly than planned, so that their parents can reconcile, and the foursome can be one big happy family.It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
"Definitely, Maybe",Comedy,"A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.Romantic comedy: Will Hayes, a 30-something Manhattan dad is in the midst of a divorce when his 10 year old daughter, Maya, starts to question him about his life before marriage. Maya wants to know absolutely everything about how her parents met and fell in love. Will's story begins in 1992, as a young, starry-eyed aspiring politician who moves to New York from Wisconsin in order to work on the Clinton campaign. For Maya, Will relives his past as a idealistic young man learning the ins and outs of big city politics, and recounts the history of his romantic relationships with three very different women. On the campaign, Will's best buddy is Russell McCormack. They not only have similar political aspirations, they share the same type of girl problems, too. Will hopelessly attempts a ""PG"" version of his story for his daughter ad changes the names so Maya has to guess who he finally married. Is her mother Will's college sweetheart, the dependable girl next-door Emily? Is she his longtime best friend and confidante, the apolitical April? Or is she the free-spirited but ambitious journalist? As Maya puts together the pieces of her dad's romantic puzzle, she begins to understand that love is not so simple or easy. And as Will tells her his tale, Maya helps him to understand that it's definitely never too late to go back...and maybe even possible to find a happy ending.On the day she has her first sex ed class, 10-year-old Maya grills her divorcing dad Will Hayes about her conception. That night, he fills her in, changing the names of the women who were in his life then to keep her guessing which is her mom: Emily, his college girlfriend when he came to New York from Wisconsin for Clinton's '92 campaign; April, edgy, a little cynical, who misses her father; and, Summer, a writer attracted to older, established men. In demanding the story, Maya's motivation is clear: to get her dad to fall in love again with her mom. Will this parent trap work? In the telling, might Will discover his true Penelope? Definitely. Maybe.The students at PS322 in New York City have just had their first sex education class, which doesn't sit well with many of the parents and brings up many questions by the students of their parents, including the ""gross"" factor of if their parents really had sex to conceive them. But for ten year old Maya Hayes, the ultimate question becomes how her parents, Will and Sarah Hayes, met and fell in love and how that love disappeared on what is now the cusp of their divorce. Maya wants to know to figure out how to make a seemingly unhappy Will, which includes being unhappy in his current job as an ad executive, be happy again, hopefully with Sarah. Upon much coercion by Maya, Will finally relents but with one caveat and two assertions: he will change the names of the women involved so that Maya will have to figure out which is her mother, the story is not as simple as Maya would probably hope, but the story does have a happy ending. Will begins his story in 1992, when he, then politically active and fantasizing of one day becoming president, moves temporarily from his college stomping grounds of Madison, Wisconsin to New York City to work on Bill Clinton's presidential bid. The three primary candidates as Maya's mother are: ""Emily"", Will's college sweetheart, who is afraid that Will will never return from New York and if he does that his experience there will fundamentally change him; ""Summer"", Emily's New York based friend, a sexually liberated woman and professionally ambitious writer; and ""April"", the copy girl in Clinton's New York campaign office, she who challenges Will intellectually but who herself is unmotivated to do anything with her life. As Will's professional life rises and falls, and as Emily, Summer and April enter, exit and reenter his life, Maya continually changes her opinion on who she wants to be her mother. But as Will's story hits what Maya believes to be close to its conclusion (after a series of previous possible close conclusions), Maya believes she's figured out if Emily, Summer or April is indeed her mother. But Maya also learns that Will is correct in that the story is not as simple as a ""Will/Sarah"" happy ending and tries to help him find that happiness she feels he deserves."
5 to 7,Comedy,"An aspiring novelist enters into a relationship with a woman, though there's just one catch: She's married and the couple can only meet between the hours of 5 and 7 each evening.In New York, an aspiring novelist has a cinq-a-sept affair with the beautiful wife of a French diplomat. Cultures, world views, personal ethics and dietary preferences clash as love deepens, with remarkable results. Romance, drama and comedy.Against the backdrop of a bustling New York City, the American 24-year-old hopeful writer, Brian Bloom, first sees the alluring 33-year-old French woman, Arielle Pierpoint, across a crowded pavement. Impossible to resist, the mesmerised youth summons up his courage to meet her--and much to his surprise--the two will be sharing not only laughs but also a beautiful, still, frail affair between 5 and 7 p.m. each evening. But she is married, and in her eyes, Brian is just an intriguing, yet callow young man on the path of discovering himself and his new feelings. Is there a future in this cinq-a-sept affair?It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
The Time Traveler's Wife,Romance,"A Chicago librarian has a gene that causes him to involuntarily time travel, creating complications in his marriage.When Henry DeTamble meets Clare Abshire in a Chicago library they both understand that he is a time traveler, but she knows much more about him as he has not yet been to the times and places where they have already met. He falls in love with her, as she has already with him, but his continuing unavoidable absences while time traveling - and then returning with increasing knowledge of their future - makes things ever more difficult for Clare.In Chicago, the special collections librarian Henry DeTamble has a genetic anomaly that allows him to travel in time; however, he is not able to control the moment or the destiny of his voyages. When the stranger Clare Abshire meets him in the library, she invites him to have dinner with her in his favorite restaurant Beau Thai where she confesses that she has been in love with him since she was six years old. Henry leans that he had visited her many times in the real state of her parents and he falls in love with her. Soon they get married, but the life of Clare becomes troubled with the successive unexpected travels of her beloved husband."
Far from the Madding Crowd,Romance,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.The story of independent, beautiful and headstrong Bathsheba Everdene (Carey Mulligan), who attracts three very different suitors: Gabriel Oak (Matthias Schoenaerts), a sheep farmer, captivated by her fetching willfulness; Frank Troy (Tom Sturridge), a handsome and reckless Sergeant; and William Boldwood (Michael Sheen), a prosperous and mature bachelor. This timeless story of Bathsheba's choices and passions explores the nature of relationships and love - as well as the human ability to overcome hardships through resilience and perseverance.Smart and educated, Miss Everdene enchants one man after the other, sheep farmer, well-to-do bachelor, and a broken-hearted young sergeant. She denies her feelings, rejects the safety a marriage would bring and maintains independence in order to keep managing the farm she has saved from ruin. But she is never alone. Hardy lets us know the politics of being a woman in 1870 England through his characters' actions, opinions and privileges. Life, it seems, is never easy, but once in a while it is fun.In 1870 Victorian England, Bathsheba Everdene (Carey Mulligan) is working on her aunt's farm in Dorset. Gabriel Oak (Matthias Schoenaerts), a new neighbor, sees Bathsheba riding her horse and falls in love with her. He proposes, but the headstrong Bathsheba declines, saying she is too independent. One night a new sheepdog chases Gabriel's entire flock off a cliff. He settles his debts and is left penniless. He leaves in search of work. In contrast, Bathsheba inherits a farm from her uncle and leaves to take charge of it. While Gabriel is at a fair trying to find employment, local soldiers attempt to recruit him and other townsmen. A young girl, Fanny Robin, notices him and points out one of the soldiers, Sergeant Frank Troy, her sweetheart. She suggests Gabriel seek employment at a farm in Weatherbury. Gabriel arrives to find several buildings on fire and saves the barn from destruction. At dawn the next day he is introduced to the farm's new mistress: Bathsheba. She hires him as a shepherd. In the meantime, Fanny goes to the wrong church for her wedding and Troy, apparently jilted, is devastated..It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
The Little Death,Comedy,"The secret lives of five suburban couples living in Sydney reveal both the fetishes and the repercussions that come with sharing them.The Little Death is a truly original comedy about sex, love, relationships and taboo. In a multi story narrative, we peer behind the closed doors of a seemingly normal suburban street. A woman with a dangerous fantasy and her partners struggle to please her. A man who begins an affair with his own wife without her knowing anything about it. A couple struggling to keep things together after a sexual experiment spins out of control. A woman who can only find pleasure in her husband's pain. A call centre operator caught in the middle of a dirty and chaotic phone call. And the distractingly charming new neighbour who connects them all. The little Death explores why do we want what we want? How far will we go to get it? What are the consequences of that fleeting moment of sexual ecstasy?"
Venus,Comedy,"Life for a pair of veteran actors gets turned upside down after they meet a brash teenager.Maurice Russell, once a great actor, is now living in London in the twilight of his life. Those of his generation remember him fondly, while those in the younger generations have no idea who he is. He spends most of his time hanging out with his friends Ian, also an actor, and Donald, or visiting with his wife Valerie for who he has great affection but with who he no longer lives. His acting career is virtually over, he only taking roles on the odd occasion when he needs the money. Ian has decided to invite his young great-niece Jessie from the provinces to come and stay with him, basically to act as his caregiver in case he falls ill, but also to be his companion. He envisions listening to Bach with her and her cooking him food to which he is accustomed. Jessie's stay is nothing as he envisions. She doesn't know how to cook, she drinks all his alcohol, and she has unrealistic visions of what she will accomplish in her life. Maurice, however, sees in Jessie, a person who can help him recapture part of his youth and vigor, including more fully realizing his thoughts of sex. Maurice calls her Venus, after one of his favorite paintings. As Maurice and Jessie spend more time together, they use each other to get what they want. But it isn't until Maurice approaches the end of his life will either understand if what they have is true friendship.Maurice and Ian are successful but aging actors, close friends whose conversation revolves around theatrical shop talk and the infirmities of septuagenarianism. Ian in particular is fearful that death is right around the corner, so he agrees to let his niece's daughter Jessie move in to his flat to care for him. Jessie, a provincial girl in her early twenties, turns out to be a nightmare for Ian, a hard-drinking, rude, and dismissive twerp. But Maurice sees something else in the girl, a potential for humanity which blossoms under his kindness and gentle guidance. Something else blossoms, for Maurice, as well: romantic love for a girl fifty years younger. Surprises follow, all around."
Now Is Good,Romance,A girl dying of leukemia compiles a list of things she'd like to do before passing away. Topping the list is her desire to lose her virginity.
Copenhagen,Romance,"When the girl of your dreams is half your age, it's time to grow up.After weeks of traveling through Europe the immature William finds himself at a crossroads in Copenhagen. Not just another European city, Copenhagen is also the birthplace of his father. When the youthful Effy befriends the older William they set off on an adventure to find William's grandfather. Effy's mix of youthful exuberance and wisdom challenges William unlike any woman ever has. As the attraction builds and William truly connects with someone for the first time in his life, he must come to grips with destabilizing elements of his family's sordid past.It looks like we don't have a Synopsis for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide."
